Performing Artist/ Talent Name,Stage Name (from Stages),DAY OF SHOW,Programming Time (from DOS),Soundcheck Time (from DOS),Set Time Start,Set Time End,Upload your Artist Press Photo,# Confirmed Greenrooms,Green Room Sched,Greenroom Start,Greenroom End
EMPIRE OF THE SUN,LIGHTNING,SUNDAY MAY 24TH,5/24/2026 2:30 AM - 4:30 AM,5/24/2026 12:00 PM - 1:00 PM (linecheck),12:30 am,2:00 am,Emperor Blue_ATG26_FINAL.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/0TXYiVAkRl4Ew0UitI2Z9w/Slxs7H6YK9YLNCNa8MSg6GP7Ff67eb5_7I-CW-orXcdqFEe0NemUb1BIR22VwFw6R3McWFkUVCVSb8Z3s5tj-7DOAmsi5bs5yOBIyj5r6-8L-wvdX7d_hTHHYjD4t4q4ulhBz7KaXEp1CTteVKVhUoYX5FtPNL9QIKNro_Z-xe1AMqFMSAvu0SKEHW6HJMna/z44jlJb-PInOKlL7ZMA60wRlqjVxhMTvUM9WQmz2wwo),6.0,"EMPIRE OF THE SUN-Greenroom-GR Trailer 1,EMPIRE OF THE SUN-Greenroom-GR Trailer 2,EMPIRE OF THE SUN-Greenroom-GR Trailer 3,EMPIRE OF THE SUN-Greenroom-GR Trailer 4,EMPIRE OF THE SUN-Greenroom-GR Trailer 5,EMPIRE OF THE SUN-Greenroom-GR Trailer 6",,"5/25/2026 3:00am, 5/25/2026 3:00am, 5/25/2026 3:00am, 5/25/2026 3:00am, 5/25/2026 3:00am, 5/25/2026 3:00am"
MOCHAKK,LIGHTNING,SUNDAY MAY 24TH,,5/24/2026 2:00 PM - 4:00 PM,10:15 PM,11:45 PM,Pedro foto.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/Y0HkpZtIgv8vx5znPMNFmg/C_41fy7uv0LDZjdF-TNMnTvQrxeb6i2_mvD_9ddUQytt8EyEK1Jx1cJ0x0-EqLWaL5qeBijCTjkZsIi2eLNrCmukrbz5GoBS4R200Og22iiZjRo6iYjnf1zpEM6JT3CYT-JBTlzt_JmmO8uk9D_JniuYCHVs9hUtuvQEy0nxxnc/x9o8r56N9M5zEPulU7vl_S0qfoNuRjgmnu8ogNarPuU),,MOCHAKK-Greenroom-GR Trailer 7,5/24/2026 12:00pm,5/25/2026 2:00am
TINASHE,LIGHTNING,SUNDAY MAY 24TH,5/24/2026 4:30 AM - 6:30 PM,5/24/2026 4:00 PM - 5:00 PM,9:00 PM,10:00 PM,2320.webp (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/G9YW5kg_k4yPfOqiNeLCbQ/UA3KsCUitm5dQBWY4R6mmpdxRVpH_Vo7w6nPI5dMFKBlIBElB1GmVCt8bYXWDbNiGUYwYTxEuR84aE_Lc9cdmMlxNyYl96RirzoJl59dmUnMQKw6kQ--NlKGc_RH_32XCQ8PRtq_F0dmp5RfMgLDBw/LB_32cDk_KIE5zZlbTU50vCC2_ItNsVAlEGu58Y0Os8),2.0,"TINASHE-Greenroom-GR Trailer 13,TINASHE-Greenroom-GR Tent 2","5/24/2026 10:00am, 5/24/2026 10:00am","5/25/2026 12:00am, 5/25/2026 12:00am"
HAUTE & FREDDY,LIGHTNING,SUNDAY MAY 24TH,,5/24/2026 5:00 PM - 5:30 PM,7:45 PM,8:45 PM,H&Fpress.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/bRf_qnSB57Zx6Rm50hjoKg/5tSvRWhuUpLa6QmRKn_J9f1ZzMphQxqaXnCeCPWo05SQUwvXgtyMYVSNQbxec_ejjqlMJW9mX8TaGKJz6WzhmK7R8plvzTZPwL78BpSoAn13R9g_taH0moBAQtJ9AfHd1mswgb1OyttlGVYyjNrLMQymCs0CNC7b1UmUsVcYM0o/ZSqcRDvxSnEdD1eGZW1c78YHqGT0MO26BJfWG_MFNRo),1.0,HAUTE & FREDDY-Greenroom-GR Trailer 10,5/24/2026 3:30pm,5/24/2026 11:00pm
BIGGER THAN US,LIGHTNING,SUNDAY MAY 24TH,,5/24/2026 5:30 PM - 6:00 PM,6:15 PM,7:30 PM,btu_cadet_press.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/mh4z8SJ_jqbCpVnwE1vplg/0ZAIcOgTmecd01AcR5py2sjmIjtMw__J83awNnmWhxHU6gzvkPW45ouIAbdHm0zjJo16hOApWA2Cvlmi3svopRRILh0SQJ7YOfvmwsO6XaeKmkVZFmXBbPssOwrWVsixjebYrSskTlwfbeEFVdL2ly9iwqC8qaNLfwpRIkXfxWU/YxOcnxsao9Tw_KYCJRIimhzPbw4d2vTlXRNQW3v85UI),2.0,"BIGGER THAN US-Greenroom-GR Trailer 15,BIGGER THAN US-Greenroom-GR Trailer 14","5/24/2026 4:00pm, 5/24/2026 4:00pm","5/24/2026 9:30pm, 5/24/2026 9:30pm"
ALLEYCVT,THUNDER,FRIDAY MAY 22ND,,,12:45 AM,2:00 AM,ALLEYCVT - 9 LIVES PRESS - 1.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/BjU4XsRBHO4Dhlm_5OK-Fw/oHNkGh0S7ARuxeBcRC21BPbLYCr505n5krmXt2Sw7MzrxR-qtVKheZ1HzFWRFcX0HjXdUjXhjp3aPZ4Qzu5cmgBVD1mr4kmPnKlCxb8IBWrwjwvOwATol_EpFsRkanjht7O1XM95qNqyzr9aRfLo2bh87qVLx9RadVc8dHaHIcVvzBLGVh8mLwY_xbBHKyVD/O-M3UgVHS1eiRUv6TEK6ZzPdqL31L1N6WYu2WJexz00),1.0,ALLEYCVT-Greenroom-GR Trailer 16,5/22/2026 8:00pm,5/23/2026 3:00am
ZEDS DEAD,THUNDER,FRIDAY MAY 22ND,,11:30 AM - 12:15 PM,11:20 PM,12:35 AM,ZEDSDEAD_12.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/04P2pm1jNCVWEHDP2elxyw/oSc327o_rgTr45bCylRq4VWQXWMcoaKKH4es6U6AAa8WSvR_TSF5hi8CRRtCsgk1baFA0ax3OpDcLvZ6s890G5xWoORZnE1BPUn84QHQ66U1ixizUZ2JhpU6Tlwaz_ho8mUi_EEsJxOKyhEi4Ydfw_mpUTe6Tk_FKJOTnWcF4IE/X6cvXuNwgsv0ZGYi47lYRRAzSCfnsypVLS3RRmBT8ow),2.0,"""ZEDS DEAD-Greenroom-GR Trailer 5, STAGE COOLER"",ZEDS DEAD-Greenroom-GR Trailer 6","5/22/2026 2:00pm, 5/22/2026 2:00pm","5/23/2026 2:30am, 5/23/2026 2:30am"
 IVY LAB,THUNDER,FRIDAY MAY 22ND,,,9:50 PM,11:05 PM,9cca9db2-301d-11ef-954e-0ecc81f4ee58.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/K19_PVNSG7-F5tzDwfwHiA/H4-AYAspHfQCWcs4anyChT5xFNZZVUHlG-OEOOYLhGJ_l_Y7EScYJA8zp5fjGJiPIXLlhBcg7ix6_tWOGmS1QFBcd8DuZJDcQ-7Rr680stua3_btXZ_HMmOemubKThl91fCChm1cIJkBiedXxGSs78xGDGenhYFMkW7BpZuRaW1Q0Qd2T4qnTJ27_VCTiSzV/lGhOflltn35Ecg87wWzqYYJKkUhB0U3lYzP2RkkWM9U),1.0, IVY LAB-Greenroom-GR Trailer 7,5/22/2026 7:30pm,5/23/2026 1:00am
MPH,THUNDER,FRIDAY MAY 22ND,,,8:35 PM,9:50 PM,IMG 2.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/5OmRoIR60aL_sO41T3yCBw/KSirJuALL3cjU97AQFM0uHcsfx_QYDvEFcNQMKk2hCwCPM3VE0h1kWzjCJ8OuqIUj7Rr7IWFYGt31DvjmcEB4DFlnJZJ7Yc5hnej2T9RsDfPyqjCiL4KgTMeeNLFPAmFKD4g85nDGgZIKBo3iAq6maZuk-0Gq4GlhudC7stQgx4/EJk5SyRcI785V8nfdMqzil5QfAd0Xrm_P9BnC5FhdNk),1.0,MPH-Greenroom-GR Trailer 9,5/22/2026 7:00pm,5/23/2026 12:00am
FLAVA D,THUNDER,FRIDAY MAY 22ND,,,7:20 PM,8:35 PM,FLAVAD_2JUNE2025_@SAMCORPHOTOS-14.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/1PFw8tz6iP1npCK-uFYL5Q/7Wy-hUp3djC7hXFrWNUepv-ZrZ9PG0kAmFCEsHNGAcqRfL6Gi0pW9fvTzfwqb7XLa-0bXUDLOGhaSRS6k56oy1QCS2i3scCH5HPeiweGAWCU3qNHSBVSwFtLiLYiXwXJsie1W7pzEbC2WgkpOKIg8GT4oVzY4v_7N6CYSj7cf1iCbQagRx6NA0he3cj2VEmQ/yNj1FXgjoVMfeKLjhDYKwUO3thcB5fyd1r-MjyjfjDc),1.0,FLAVA D-Greenroom-GR Trailer 11,5/22/2026 6:00pm,5/22/2026 10:30pm
BORNE,THUNDER,FRIDAY MAY 22ND,,,6:05 PM,7:20 PM,Close Up 2.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/YY6DW2lWVkWnmTqlHHW7JQ/Bv8klN33fQPyT2ktKPx6sqd7OofG-9Hs1mbhJ9H1hBin1dU2Q_ySZBnwldodq4s14Y-Qh7F-BAhJcnBYxrs9VyyRDVlFEQ29Jh-44mRgVr-MTe-AjrXOGac6H1GIuHl_AkDw71Iilf6VzT-vjpjiVfwWPS5ZPjfjiByMmzHRSUQ/DGPx6fpMwsq9aSuCWDB31gcpmt1qGHDFaMthypmIR40),1.0,BORNE-Greenroom-GR Trailer 13,5/22/2026 4:30pm,5/22/2026 9:30pm
CASEY CLUB,THUNDER,FRIDAY MAY 22ND,,,4:50 PM,6:05 PM,Casey Club Press Shot 2 (1).jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/YXvSQrEYq52i1ICrmZs1Fg/7eVG-EkvKyy4JqWk9VkMqa3CVgymkmA3szOIDDlKlqVFAv2i_JV4WcpRsNU_WhasTgdgXjpggXnN_KvYccQ-VHnmo8kf_9c_-_7igEVNnRUgZX0q6O06M-JBEtuT5iFEh8nlCVBKc9ow_eQYgbAtTh_t5LarB5E62wPidA9ebGE/JtoxRUd0JsYbGG8iNqUP4KwP04m4WpwEpWuo-UBNWMI),1.0,CASEY CLUB-Greenroom-GR Trailer 15,5/22/2026 3:30pm,5/22/2026 8:00pm
DONNA DADA,THUNDER,FRIDAY MAY 22ND,,,3:35 PM,4:50 PM,donna dada - cred skye olesen cormack.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/H8uwVzNI5JOxlCzyX8w5Ug/GMi4il4Iotw78fwAhkoakT2lof4Lu3HBjC4NVbBV2nqUfQOGLCNaiEJPVhHVFAx0ABPjQooDcX66i85inFfQC582Ma78P_KjqAgqg7N2fZjiQBVsaKRyXyayBTX5fyPwyctTglmxVyugXFZBtrJK23ccF0eOvtFGcXOb1p_Lz6LLVqDWJDzNkVa0sNCwUgUb/eD7and45ISE44QnkW4E9VBAWvxTAwfZpoYsjkce_O1I),1.0,DONNA DADA-Greenroom-GR Trailer 16,5/22/2026 1:00pm,5/22/2026 6:00pm
MINDEX,THUNDER,FRIDAY MAY 22ND,,,2:20 PM,3:35 PM,IMG_8794.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/NZixu_yhpgAJn5JWiIPHYA/28evBxrPI2E2vL2mBI_SLIIj9KCvMZrTnHtgzCcwRuNnNUp6541gwk2sEgX4fTMSpo2JsLsRuuLMIY2C1EWYKHysDZqXXVXMTEc2M3vc25xZflu50f_pk-UeRWK4LW6ENpM6eZs2magCeTuHxzNIVxSiSgU-MJacHoMAjWBHGWo/YE4KsYODx_zXt0EBM-ucyp3KKB8u4YDTXD-IPL4_J6A),1.0,MINDEX-Greenroom-GR Trailer 17,5/22/2026 12:00pm,5/22/2026 5:00pm
BASS TEMPLE,THUNDER,FRIDAY MAY 22ND,,,1:05 PM,2:20 PM,DSC_0638 3.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/eZTy8RAiMYGSKRHgmM1p1g/mqH69KLhLO0ELWabL66_eChzYiz2HQYzTVhvNBO3xis37RDfCCdLbLGJMfq37VwrrkD9SpxwMGCWjss5q_BQEM6NBmfwFESgctKntQH4BDDCVvpjBZ7sMizA5j42uQ1rjCb08hHUEIuRrFp8h6Gl2RZqUj0q_77s-hlnE6cnh1Y/eMc8EnIiu14u8j9qCHacEjenMpeOJ4W8syqJ62d0Utc),1.0,BASS TEMPLE-Greenroom-GR Trailer 18,5/22/2026 11:30am,5/22/2026 4:30pm
DAILY BREAD,THUNDER,SATURDAY MAY 23RD,2:00 AM - 3:00 AM,11:00 AM - 11:45 AM,12:45 AM,2:00 AM,Daily Bread Press Photo.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/5t_TGwMMstwEUiXJHjsEDg/2Ics5ySYoDQoEWjkMQoyku20L8fjRJdelsoaDZa4ZrK-ck3ndFErYOAT32QhuLxhf4whq63hqzsArwZw9mC17ggZUnbjJGQ-PPkVbcgfETP0nmwP4ltLMgoCj9TTeZfUUnE7vqLTCIhnii0B1wT6IXs3HYVu8csWUy8xVWUABsIPAoQSixhiXozEBLpeB4z8/CXuox8YTtW6DIzYgTxw4retHz3ZY_PzGoyYxkudMXBE),1.0,DAILY BREAD-Greenroom-GR Trailer 10,5/23/2026 3:00pm,5/24/2026 3:00am
INZO,THUNDER,SATURDAY MAY 23RD,4:00 AM - 5:00 AM,,11:15 PM,12:30 AM,INZO mirrorverse tour press final v2 web size 09.25.2025 - 052213.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/JZLSwVNYy3BjHXyd5zH32w/eWzbNXES5DaAlSGuUrMrEXljC8k60mAIZJJ7LfiStK1VhXon33eDAjOoUjoRH1JxZdxBGlM5_aOt4oOcvK9yi_nt8UQBSmnPzHt6MIQoAu2MPnrqPVO2VOtqfl8UpMv8sFB9zgnRik5QLbmrizk4rpOfTbje38vbBB5oSyWFyXp271AKEYPXV7Ei3iHeopXzZaUlfcIfA4zZg9Pha7BsXoTuK-VXWFDNLFK_sWBgX1U/30IMtxCosj7RpFgrqE8yjnxkC-hrgXvtx-HOM2LuVfw),1.0,INZO-Greenroom-GR Trailer 18,5/23/2026 8:00pm,5/24/2026 2:30am
 MADAM X,THUNDER,SATURDAY MAY 23RD,,,10:00 PM,11:15 PM,DAAN-DAM-MADAMX-8.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/WjQ4qSmqgBhVa-vK7VCZdg/pEt8qOUiws_7BtK5xK0LYES0b5_XPR87tC9DfmaT0tS2mjIMvO2xkeeVBbThLgbg9XDYBAsYstCugOjZG9oBvX2z_ayFw_DRNneTM3iBtfz4ANpi0pcg_FIyjzEAWdnbs-NL1K6jI6-QaSH60kQKH-l5ieY8agPF6XDG5Tp_ozQ/qA7WWEC9WSqQf4pB-F7YmKW7IfIevqW78T3HG8HBd6s),1.0, MADAM X-Greenroom-GR Trailer 12,5/23/2026 8:00pm,5/24/2026 1:00am
OPPIDAN,THUNDER,SATURDAY MAY 23RD,,,8:45 PM,10:00 PM,oppidan.webp (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/Ir9MC82kqmH457HmA-CNxg/6Ja10Uyhxq5Md8Mql-QVIQZwPEloEn4e434yE-mU-zDxXxB7ThGmKI6Dz6bC2GU0gz41bH4vU5LquaLBZNjdOVHPJ4678Pyxry_xmzkeuTGc-4VA5_9AdDNepnDr5I0mzMDP8z4yAdHEH4uVq0xGX-UKsaHy-6aPlM5JiQbK42Q/glafU8-8B8uAL4ex_2TTFW0oBTIP0wifyPHWtN3DMsA),1.0,OPPIDAN-Greenroom-GR Trailer 9,5/23/2026 6:30pm,5/24/2026 12:00am
ELEPHANT HEART,THUNDER,SATURDAY MAY 23RD,5:00 AM - 6:00 AM,10:00 AM - 10:45 AM,7:25 PM,8:40 PM,EH Press Photo Option-2.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/hXnYKHhXOmLBNGBP1WDqZA/w7jsPjJad2pO6s4i4r9UKffwbShvwuxB-px3PHMDT-iFK3f_uazaVtn1O3pDu2lORnCZWThLRl34P6hMBTClpL4yCu6_ABMhNMWFy06HF1QWsP2Mk7I-5zBBgzeUA32rEZrNMQ5nC9c7M7jC6pdVitrArgp28xY_hPzQO0c57UW0bnGk0l7FHVbhgdydpAgF/gnk2K1Y73sN6io0Xn62Y9wu9Uc9yh9oNeIjd34Ak8jM),2.0,"ELEPHANT HEART-Greenroom-GR Trailer 7,ELEPHANT HEART-Greenroom-GR Trailer 8","5/23/2026 5:00pm, 5/23/2026 5:00pm","5/23/2026 11:00pm, 5/23/2026 11:00pm"
MAIN PHASE,THUNDER,SATURDAY MAY 23RD,,,6:00 PM,7:15 PM,WhatsApp Image 2026-03-16 at 5.18.19 PM.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/_XEwRAW4hxEh53wTOr5Vbw/ZNHLL3CmrubbCyXc8_lKk5rORSVzI1-dv3QI3THKAmoDlORY_vCzokTQcN4w8ag7rky9pPWXXtywaqheK7O7usagLkpAn7A3HKlwFiIHo9gattcktxMw2T82yJC_8ZxpaVisszk2UzNfGxS-1sGzyoeckMMf4lbFYdZ-FgkSMFEOVdxnC4c2jDbdk575Y4ts/bEYBSHNpb456WFHe5up28Ze4r8TriWAwNnwP2mJ8aG4),1.0,MAIN PHASE-Greenroom-GR Trailer 16,5/23/2026 4:00pm,5/23/2026 9:30pm
JUSTIN HAWKES,THUNDER,SATURDAY MAY 23RD,,,4:40 PM,5:55 PM,justin hawkes.jpeg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/jKmkPdXsoKrhD1OuwoQR1g/8qRgQyCusOWIhq5OtQXDYGJOa8uCxZ6ooIfLJTmYUQBPMiav6gbu-vnINZu2347eQ9HrK0RVJc81RjVW3VoDhdmjgSENWx40b6QbUtfAxi90y8LUM0MhPhfHMMl-bbT72AwFm7QQtWmjep3FW10CVNcoIC12FW3AmaaKD6A81hY/Og_bXLDyQR7Cuj1QYYImURiwB22_I1inxD1is0geRdg),1.0,JUSTIN HAWKES-Greenroom-GR Trailer 17,5/23/2026 3:00pm,5/23/2026 7:30pm
